Source.Name,POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.F7.Theta,POW.F7.Alpha,POW.F7.BetaL,POW.F7.BetaH,POW.F7.Gamma,POW.F3.Theta,POW.F3.Alpha,POW.F3.BetaL,POW.F3.BetaH,POW.F3.Gamma,POW.FC5.Theta,POW.FC5.Alpha,POW.FC5.BetaL,POW.FC5.BetaH,POW.FC5.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.P7.Theta,POW.P7.Alpha,POW.P7.BetaL,POW.P7.BetaH,POW.P7.Gamma,POW.O1.Theta,POW.O1.Alpha,POW.O1.BetaL,POW.O1.BetaH,POW.O1.Gamma,POW.O2.Theta,POW.O2.Alpha,POW.O2.BetaL,POW.O2.BetaH,POW.O2.Gamma,POW.P8.Theta,POW.P8.Alpha,POW.P8.BetaL,POW.P8.BetaH,POW.P8.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.FC6.Theta,POW.FC6.Alpha,POW.FC6.BetaL,POW.FC6.BetaH,POW.FC6.Gamma,POW.F4.Theta,POW.F4.Alpha,POW.F4.BetaL,POW.F4.BetaH,POW.F4.Gamma,POW.F8.Theta,POW.F8.Alpha,POW.F8.BetaL,POW.F8.BetaH,POW.F8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma,OriginalTimestamp
lokeshpq1.normal.csv,1.856019,2.195706,0.819228,0.223327,0.138836,49.459572,4.548529,0.94693,0.376024,0.208978,1.616639,2.303009,0.536475,0.191663,0.158776,2.789265,1.970279,0.284665,0.136405,0.190196,1.279312,0.401351,0.236189,0.116096,0.256474,269.972473,43.038464,19.740892,3.880636,0.800076,0.451188,0.212875,0.132814,0.069044,0.103151,0.631363,0.946732,0.785884,0.194146,0.161631,0.68808,0.591457,0.691557,0.127187,0.135489,0.947516,0.71893,1.047065,0.193758,0.150991,2.896623,2.850282,1.392612,0.439373,0.211962,2.302361,3.1551,1.159847,0.306498,0.16879,10.390137,1.405895,1.404689,0.425953,0.254913,4.364515,3.211294,1.537924,0.458537,0.249188,
lokeshpq1.normal.csv,1.606932,1.747956,0.792978,0.213454,0.150611,38.414856,3.639581,0.933919,0.339907,0.221749,1.590863,1.948729,0.607777,0.178036,0.163474,3.510063,1.699945,0.322427,0.139073,0.194078,1.374117,0.339622,0.232565,0.104854,0.246492,248.130478,42.596031,15.254438,3.719342,0.640143,0.422441,0.182543,0.127521,0.067926,0.098752,0.78008,0.880907,0.700058,0.193153,0.151155,0.817046,0.573023,0.529206,0.122793,0.125047,1.029475,0.66289,0.757002,0.208673,0.152946,3.468148,2.675368,1.09532,0.461766,0.23131,2.070335,2.816786,1.143876,0.292981,0.172494,10.306464,1.594018,1.219914,0.434284,0.284191,4.035542,3.401737,1.694722,0.498825,0.282503,
lokeshpq1.normal.csv,1.334693,1.37252,0.765985,0.218415,0.163875,32.116737,2.772774,0.809484,0.308852,0.222277,1.604167,1.63484,0.694841,0.167244,0.159758,4.189863,1.407037,0.382657,0.151865,0.186466,1.379925,0.310688,0.244441,0.099269,0.21938,273.082336,43.313297,12.940995,3.71796,0.61467,0.386673,0.168713,0.12618,0.071383,0.092188,0.93906,0.79861,0.594207,0.194052,0.134579,0.889022,0.510755,0.366761,0.132248,0.116746,1.044896,0.585828,0.487668,0.228894,0.152619,4.903296,2.413673,0.829997,0.471592,0.252987,1.960291,2.483662,1.14575,0.277733,0.173376,10.613658,1.874985,1.120996,0.46992,0.316325,4.547089,3.531442,1.879429,0.555337,0.309309,
lokeshpq1.normal.csv,1.114403,1.096229,0.756576,0.239793,0.178014,23.407719,1.860963,0.676883,0.27999,0.211941,1.705139,1.353906,0.795241,0.159697,0.151089,4.495621,1.124396,0.46539,0.173734,0.171487,1.339328,0.30925,0.267828,0.101231,0.1849,330.322144,43.677525,12.669735,3.894029,0.691177,0.332931,0.159992,0.122694,0.076524,0.083141,1.058841,0.707872,0.505743,0.200047,0.119475,0.867167,0.430324,0.238555,0.156791,0.112889,0.974589,0.506555,0.295022,0.251701,0.151044,6.933088,2.101834,0.659319,0.466225,0.271904,1.900426,2.168953,1.195015,0.263987,0.173043,11.289901,2.2097,1.128528,0.522137,0.343095,4.750342,3.550803,2.061697,0.616731,0.326536,
lokeshpq1.normal.csv,1.019751,0.947335,0.758972,0.274739,0.192181,17.95278,1.11814,0.560362,0.261684,0.193816,1.933618,1.121662,0.8762,0.157011,0.143613,4.732017,0.881488,0.544671,0.200429,0.156626,1.260163,0.32512,0.299573,0.112018,0.154826,392.234344,42.260555,13.514743,4.150979,0.800891,0.288004,0.154771,0.115825,0.081162,0.07244,1.130107,0.638869,0.441604,0.212233,0.111586,0.791664,0.360382,0.154579,0.190618,0.113813,0.912477,0.444509,0.188459,0.271102,0.147982,8.941124,1.893134,0.582621,0.448063,0.283218,1.993379,1.927908,1.250542,0.254871,0.174189,13.036342,2.587652,1.179449,0.571036,0.357163,5.273275,3.418136,2.145671,0.664314,0.333912,
lokeshpq1.normal.csv,1.041256,0.93231,0.746024,0.318408,0.205629,12.84974,0.66961,0.505421,0.257665,0.171802,2.262686,0.95895,0.894791,0.16066,0.142179,4.515103,0.693161,0.589511,0.230274,0.149551,1.110167,0.347659,0.332301,0.130919,0.137492,435.049469,38.668026,14.435131,4.334802,0.877387,0.259431,0.155657,0.104917,0.084974,0.061846,1.150845,0.645864,0.39238,0.227739,0.112011,0.728767,0.327001,0.112785,0.223869,0.117639,0.9225,0.415645,0.143695,0.282947,0.142565,10.599457,1.963908,0.542872,0.423926,0.284305,2.14143,1.828687,1.244979,0.252557,0.17807,17.435736,3.287311,1.187543,0.609185,0.357906,5.307966,3.147003,2.083627,0.681735,0.333906,
lokeshpq1.normal.csv,1.161241,1.033988,0.695918,0.362374,0.217926,9.427342,0.494111,0.500247,0.266027,0.14962,2.575251,0.889347,0.832881,0.169608,0.14716,4.226321,0.559198,0.577324,0.262695,0.154164,0.975063,0.371791,0.353702,0.15539,0.1342,435.136505,34.222721,14.714062,4.303073,0.881261,0.255523,0.164554,0.091073,0.088861,0.053408,1.140091,0.763619,0.350147,0.24072,0.11705,0.758828,0.343627,0.102971,0.24722,0.120909,1.073525,0.429312,0.129671,0.287559,0.134331,11.214788,2.397307,0.497015,0.399996,0.275789,2.385122,1.93914,1.143746,0.257336,0.183776,25.282591,4.673259,1.12655,0.64435,0.351083,5.273992,2.768096,1.857562,0.660451,0.329867,
lokeshpq1.normal.csv,1.306364,1.19098,0.606907,0.395925,0.22815,7.207338,0.46613,0.518055,0.280832,0.130379,2.753052,0.911333,0.700422,0.181813,0.154243,3.702873,0.478422,0.518184,0.295619,0.168672,0.852251,0.391416,0.354378,0.182166,0.139574,388.881195,30.770405,13.904693,3.987432,0.806525,0.284348,0.183382,0.078465,0.094326,0.049043,1.117192,0.973753,0.305081,0.247249,0.120868,0.895435,0.403223,0.110163,0.255502,0.120164,1.35323,0.479382,0.119378,0.289873,0.124066,10.893427,3.117389,0.429958,0.379231,0.260756,2.669093,2.252285,0.951737,0.270568,0.188806,36.152946,6.88825,1.037158,0.687931,0.344855,4.967932,2.361279,1.512114,0.608009,0.323804,
lokeshpq1.normal.csv,1.440217,1.313425,0.493385,0.409905,0.234202,6.062496,0.489291,0.537335,0.297581,0.116418,2.682383,0.99205,0.531601,0.195626,0.157372,3.252954,0.437849,0.436344,0.325065,0.186973,0.770463,0.39845,0.330832,0.207527,0.145624,307.32196,29.630419,11.899197,3.416811,0.67723,0.331389,0.213508,0.070912,0.102109,0.049815,1.07986,1.222177,0.257586,0.246616,0.119079,1.074761,0.492532,0.129613,0.249892,0.113937,1.652144,0.565451,0.106244,0.295644,0.113829,9.812548,3.965215,0.360053,0.361943,0.24299,2.963732,2.692081,0.714934,0.292817,0.190763,48.003841,9.673396,0.979556,0.743481,0.344246,4.583224,2.044623,1.124243,0.545251,0.315655,
lokeshpq1.normal.csv,1.560659,1.335991,0.381955,0.400958,0.2336,5.60513,0.552197,0.553992,0.312565,0.109567,2.423544,1.081987,0.371239,0.209777,0.152401,2.945103,0.432257,0.367236,0.346191,0.202091,0.726037,0.391514,0.287463,0.224571,0.146266,214.305527,30.660728,9.07911,2.714006,0.536081,0.364806,0.254744,0.069735,0.111329,0.055442,1.03207,1.446421,0.215996,0.241034,0.110439,1.203144,0.59603,0.159219,0.236677,0.103588,1.880398,0.695039,0.094832,0.30629,0.105856,8.485746,4.748174,0.313017,0.344372,0.224774,3.233114,3.144258,0.498343,0.32128,0.188316,57.335606,12.405568,0.977584,0.797578,0.346775,4.194436,1.992782,0.784445,0.493797,0.303526,
