Source.Name,POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.F7.Theta,POW.F7.Alpha,POW.F7.BetaL,POW.F7.BetaH,POW.F7.Gamma,POW.F3.Theta,POW.F3.Alpha,POW.F3.BetaL,POW.F3.BetaH,POW.F3.Gamma,POW.FC5.Theta,POW.FC5.Alpha,POW.FC5.BetaL,POW.FC5.BetaH,POW.FC5.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.P7.Theta,POW.P7.Alpha,POW.P7.BetaL,POW.P7.BetaH,POW.P7.Gamma,POW.O1.Theta,POW.O1.Alpha,POW.O1.BetaL,POW.O1.BetaH,POW.O1.Gamma,POW.O2.Theta,POW.O2.Alpha,POW.O2.BetaL,POW.O2.BetaH,POW.O2.Gamma,POW.P8.Theta,POW.P8.Alpha,POW.P8.BetaL,POW.P8.BetaH,POW.P8.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.FC6.Theta,POW.FC6.Alpha,POW.FC6.BetaL,POW.FC6.BetaH,POW.FC6.Gamma,POW.F4.Theta,POW.F4.Alpha,POW.F4.BetaL,POW.F4.BetaH,POW.F4.Gamma,POW.F8.Theta,POW.F8.Alpha,POW.F8.BetaL,POW.F8.BetaH,POW.F8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma,Column1
lokeshspell.normal.csv,1.219646,1.481997,0.654052,0.290941,0.331434,3.66629,1.475108,1.110144,0.275521,0.215923,1.519937,1.2,0.59782,0.297356,0.167469,1.397513,0.740222,0.901211,0.324005,0.156702,0.778731,0.287351,0.097337,0.280398,0.450167,85.887932,23.884928,12.918201,1.260335,0.438628,1.149503,0.410241,0.421396,0.191508,0.078656,0.929209,0.679422,0.300437,0.162364,0.107922,0.848421,1.02498,0.223029,0.204627,0.206937,0.959181,0.610759,0.210631,0.297232,0.260699,2.44608,1.719708,0.801946,0.346867,0.214589,1.636977,1.817219,0.461506,0.362284,0.235484,3.296215,0.985944,0.546741,0.4613,0.190155,1.294106,1.483396,0.436814,0.366857,0.232209,
lokeshspell.normal.csv,1.538211,1.556062,0.619332,0.27467,0.292721,3.586766,1.500683,1.188465,0.296867,0.21233,1.462266,1.369497,0.5469,0.299962,0.163238,1.507968,0.956193,0.903933,0.316112,0.152775,0.764287,0.328175,0.087098,0.262431,0.432459,94.01651,27.194273,15.035488,1.092941,0.492357,1.928653,0.611289,0.50817,0.185572,0.076904,0.709758,0.778368,0.343489,0.167913,0.098725,0.651781,1.018602,0.206653,0.188314,0.180791,0.857885,0.621082,0.197513,0.266692,0.246224,2.030265,2.055995,0.738267,0.338256,0.207214,1.3373,1.950774,0.464255,0.3436,0.226271,4.243576,1.284265,0.502517,0.456807,0.186173,1.427416,1.679311,0.429572,0.347166,0.211268,
lokeshspell.normal.csv,2.06594,1.595577,0.576458,0.2794,0.24946,3.493981,1.472103,1.185911,0.309645,0.205517,1.651353,1.500099,0.489553,0.287142,0.165818,1.731276,1.196356,0.853404,0.302719,0.148173,0.782724,0.38416,0.088705,0.25442,0.417033,108.763069,30.826811,17.888096,0.966692,0.549355,2.899102,0.855631,0.575496,0.182619,0.076697,0.735378,0.923637,0.401678,0.178446,0.088442,0.653771,0.998442,0.208079,0.173412,0.154159,0.972456,0.649518,0.199513,0.235809,0.221948,2.139672,2.332875,0.667228,0.319803,0.199581,1.49639,2.053881,0.4721,0.319132,0.218165,5.551234,1.720942,0.508562,0.447212,0.185764,1.788431,1.871009,0.437568,0.338418,0.186821,
lokeshspell.normal.csv,2.660587,1.589881,0.532377,0.294212,0.214607,3.266037,1.401433,1.101115,0.308096,0.201563,1.931779,1.532115,0.431288,0.261963,0.179807,1.909496,1.400714,0.75356,0.27953,0.147596,0.795748,0.439767,0.098036,0.254823,0.411054,125.591873,33.832146,20.440186,0.946008,0.593729,3.79423,1.075473,0.60127,0.181425,0.079439,0.908826,1.074822,0.457522,0.195263,0.078791,0.777652,0.961026,0.217656,0.166386,0.132687,1.186972,0.6997,0.203684,0.213053,0.196343,2.808453,2.536886,0.603574,0.301436,0.197646,1.962817,2.067075,0.490276,0.293233,0.218246,7.128581,2.319352,0.593234,0.437925,0.195728,2.269649,2.002127,0.471721,0.343541,0.172099,
lokeshspell.normal.csv,3.181904,1.530533,0.504375,0.30818,0.201217,2.950694,1.310631,0.953484,0.291391,0.204039,2.18916,1.452734,0.379853,0.232589,0.206843,2.136662,1.519698,0.630033,0.248596,0.157403,0.795935,0.4752,0.107761,0.256214,0.411641,137.064041,35.196613,21.517513,1.043996,0.617884,4.299467,1.202881,0.57668,0.179695,0.085918,1.126204,1.187361,0.498863,0.21729,0.072118,0.951424,0.911923,0.233635,0.170964,0.120393,1.419421,0.776831,0.21377,0.205478,0.177858,3.78602,2.70736,0.584677,0.296466,0.207235,2.543787,1.968271,0.524032,0.272849,0.231597,9.351411,3.090729,0.7825,0.438498,0.222193,2.79467,2.033025,0.544967,0.362261,0.17951,
lokeshspell.normal.csv,3.524625,1.426098,0.50595,0.314633,0.215677,2.586384,1.194318,0.792614,0.264877,0.21272,2.388718,1.306675,0.348916,0.210303,0.243346,2.479591,1.530676,0.52449,0.219617,0.182723,0.817795,0.480499,0.115031,0.250302,0.408893,136.21875,34.306805,20.414913,1.225891,0.633094,4.331375,1.19373,0.50902,0.174129,0.095932,1.312418,1.222662,0.531982,0.240688,0.070793,1.112494,0.867085,0.27053,0.186234,0.118561,1.615856,0.893181,0.238194,0.214614,0.171054,5.413532,2.870405,0.640339,0.309569,0.229559,3.084629,1.786155,0.58507,0.264079,0.258664,11.727224,3.965464,1.065605,0.452948,0.265803,3.296746,1.959566,0.659542,0.389382,0.213649,
lokeshspell.normal.csv,3.669051,1.288075,0.541508,0.310814,0.253515,2.243149,1.051872,0.679078,0.237219,0.224861,2.565835,1.147536,0.355859,0.204501,0.281125,2.975095,1.438045,0.478878,0.206106,0.223477,0.917029,0.456385,0.128338,0.234268,0.394322,120.338455,32.264,17.515915,1.478299,0.674734,3.841362,1.056037,0.41778,0.162559,0.108186,1.408147,1.175473,0.573744,0.258352,0.075637,1.206694,0.856694,0.360407,0.20604,0.125963,1.74639,1.053586,0.295003,0.235952,0.175367,7.098201,3.016206,0.779053,0.335125,0.25949,3.432689,1.57588,0.679855,0.268197,0.294135,13.985719,4.798637,1.374608,0.478586,0.318987,3.701418,1.803172,0.798491,0.415591,0.267512,
lokeshspell.normal.csv,3.664915,1.123046,0.604635,0.300265,0.301926,1.892552,0.875932,0.651636,0.218634,0.237315,2.7374,0.998553,0.40795,0.220692,0.310278,3.821871,1.262823,0.508521,0.217433,0.272863,1.119682,0.412046,0.158793,0.212387,0.369261,93.407814,31.532364,14.197323,1.821035,0.783568,3.042272,0.843597,0.32879,0.14637,0.120106,1.387992,1.069057,0.643652,0.265561,0.085593,1.195185,0.903376,0.532275,0.223455,0.139701,1.779255,1.234799,0.40208,0.260364,0.186511,8.463537,3.129244,0.978938,0.365189,0.287549,3.511015,1.376282,0.803641,0.283864,0.328846,15.105446,5.378513,1.622133,0.506935,0.367771,3.910243,1.591681,0.927356,0.432641,0.325597,
lokeshspell.normal.csv,3.53754,0.95075,0.669073,0.289326,0.344901,1.765418,0.681458,0.705843,0.215234,0.247772,2.88911,0.882543,0.489402,0.257546,0.323287,4.603493,1.045641,0.588859,0.25362,0.318969,1.391507,0.366215,0.210162,0.191879,0.34609,66.876877,34.219685,11.829505,2.255517,0.97368,2.198384,0.622192,0.259616,0.129945,0.12905,1.261711,0.942827,0.740258,0.261342,0.098993,1.091212,1.014866,0.777566,0.234589,0.155922,1.69801,1.409992,0.553471,0.277929,0.200043,8.924479,3.173933,1.185371,0.393401,0.304541,3.323042,1.225445,0.930313,0.306772,0.354122,14.964688,5.5253,1.721541,0.526953,0.396691,3.867758,1.365865,1.000271,0.435444,0.371632,
lokeshspell.normal.csv,3.306645,0.805234,0.698692,0.279934,0.368079,1.815212,0.507417,0.806461,0.227031,0.25484,2.956978,0.802735,0.564596,0.303665,0.317445,5.368034,0.833632,0.672152,0.30251,0.349762,1.650054,0.338376,0.277064,0.17841,0.339509,52.320393,40.925865,11.057395,2.728152,1.214677,1.501409,0.443961,0.212994,0.117077,0.13325,1.06936,0.837546,0.838404,0.248248,0.115018,0.916112,1.1691,1.0393,0.238271,0.170872,1.52724,1.551942,0.715443,0.281469,0.212913,8.287618,3.141142,1.330242,0.417133,0.305002,2.956939,1.150532,1.021073,0.327188,0.364127,13.11039,5.206686,1.635532,0.528548,0.395587,3.621258,1.174467,0.985551,0.421071,0.3954,
