Alpha,Theta,BetaL,BetaH,Gamma,0
2.987881,5.753242,1.793858,1.384546,0.932205,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
2.640749,5.494196,2.00518,1.394273,0.949065,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
2.110793,6.080471,2.157721,1.396764,0.955443,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
1.534018,6.697935,2.243037,1.417011,0.938045,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
1.134695,6.552045,2.308069,1.478834,0.899307,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
1.11876,7.183346,2.417344,1.576784,0.863245,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
1.490953,8.037535,2.607231,1.694649,0.875642,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
2.120151,9.625415,2.830796,1.823623,0.97112,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
2.753791,11.376322,3.01199,1.965678,1.153287,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
3.142899,12.402862,3.072832,2.119869,1.39094,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
3.149252,12.15762,2.962585,2.269541,1.634867,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
2.765635,10.734083,2.694512,2.394447,1.834767,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
2.134579,8.473253,2.345106,2.486509,1.960864,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
,,,,,2
